date,city,county,state,postal,lat,long,fips,candidate,event-type,notes,biden-total-visits-city,biden-total-visits-county,biden-total-visits-state,trump-total-visits-city,trump-total-visits-county,trump-total-visits-state,total-state-visits,total-county-visits,total-city-visits,biden-date,trump-date,city-visits-status,county-text,reg-voters,reg-voters-as-of-date
4/25/24,Syracuse,Onondaga,New York,NY,43.0409,-76.1438,36067,Biden,Campaign,"Trip to Syracuse, New York - remarks at Milton J. Rubenstein Museum ",1,1,3,0,0,6,9,1,1,4/25/24,,Biden,Onondaga County,"323,810",June 25
4/25/24,New York,New York,New York,NY,40.6943,-73.9249,36061,Trump,Campaign,Meeting construction workers in midtown Manhattan at construction site of new JPMorgan Chase HQ,1,1,3,5,5,6,9,6,6,10/1/24,10/27/24,Both,New York County,"1,113,601",June 25
5/1/24,Freeland,Saginaw,Michigan,MI,43.5177994,-84.1603469,26145,Trump,Campaign,Campaign rally at Avflight Saginaw,0,3,30,1,3,33,63,6,1,10/28/24,10/29/24,Both,Saginaw County,"159,329",August 6
5/1/24,Waukesha,Waukesha,Wisconsin,WI,42.9987326,-88.3217568,55133,Trump,Campaign,Campaign rally at Waukesha County Expo Center,1,2,29,2,2,21,50,4,3,10/28/24,10/20/24,Both,Waukesha County,"278,069",August 13
5/2/24,Charlotte,Mecklenburg,North Carolina,NC,35.2030383,-80.9482419,37119,Biden,Campaign,"Meets families of slain and wounded law enforcement officers, other members of law enforcement and officials",4,4,21,3,4,24,45,8,7,11/3/24,9/23/24,Both,Mecklenburg County,"790,579",May 14
5/2/24,Wilmington,New Hanover,North Carolina,NC,34.2157586,-77.9538195,37129,Biden,Campaign,Infrastructure and jobs remarks ,2,2,21,2,2,24,45,4,4,10/24/24,10/16/24,Both,New Hanover County,"181,321",May 14
5/8/24,Racine,Racine,Wisconsin,WI,42.7083839,-87.9164651,55101,Biden,Campaign,Remarks at Gateway Technical College,2,2,29,2,2,21,50,4,4,10/22/24,10/28/24,Both,Racine County,"109,137",August 13
5/11/24,Wildwood,Cape May,New Jersey,NJ,38.9860548,-74.8116251,34009,Trump,Campaign,Rally,0,0,0,1,1,2,2,1,1,,5/11/24,Trump,Cape May County,"75,584",June 4
5/17/24,St. Paul,Ramsey,Minnesota,MN,44.9492479,-93.1335938,27123,Trump,Campaign,Attends Minnesota GOP annual dinner,2,2,2,1,1,2,4,3,3,9/2/24,5/17/24,Both,Ramsey County,"311,256",August 13
5/18/24,Dallas,Dallas,Texas,TX,32.7739307,-96.804312,48113,Trump,Campaign,Addresses NRA convention,0,0,3,1,1,2,5,1,1,,5/18/24,Trump,Dallas County,"1,419,477",March 5
5/19/24,Atlanta,Fulton,Georgia,GA,33.7473456,-84.4159076,13121,Biden,Campaign,Commencement address at Morehouse College,5,5,14,5,5,12,26,10,10,11/3/24,11/4/24,Both,Fulton County,"868,981",June 18
5/19/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Biden,Campaign,Speaks at the annual Freedom Fund Dinner hosted by the NAACP Detroit Branch,9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
5/21/24,Nashua,Hillsborough,New Hampshire,NH,42.7958009,-71.5429103,33011,Biden,Campaign,"Remarks at Westwood Park YMCA, Nashua, New Hampshire ",1,1,2,0,0,1,3,1,1,5/21/24,,Biden,Hillsborough County,"3,841",January 23
5/23/24,New York,New York,New York,NY,40.6943,-73.9249,36061,Trump,Campaign,Rally in Crotona Park in south Bronx,1,1,3,5,5,6,9,6,6,10/1/24,10/27/24,Both,New York County,"1,113,601",June 25
5/25/24,Washington,District of Columbia,District of Columbia,DC,38.893859,-77.0971485,11001,Trump,Campaign,Remarks at the Libertarian National Convention,4,4,4,4,4,4,8,8,8,9/16/24,9/19/24,Both,,"378,821",June 4
5/25/24,West Point,Orange,New York,NY,41.3889135,-73.9596876,36071,Biden,Campaign,Remarks to graduates at U.S. Military Academy,1,1,3,0,0,6,9,1,1,5/25/24,,Biden,Orange County,"263,209",June 25
5/29/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Biden,Campaign,Campaign rally at Girard College; visit to a small business to speak to members of the Black Chamber of Commerce,8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
6/6/24,Phoenix,Maricopa,Arizona,AZ,33.5722,-112.0891,04013,Trump,Campaign,Speaks at TPAction town hall,4,10,15,2,8,12,27,18,6,10/31/24,9/5/24,Both,Maricopa County,"2,934,306",July 30
6/9/24,Las Vegas,Clark,Nevada,NV,36.2333,-115.2654,32003,Trump,Campaign,Rally,8,9,13,6,9,12,25,18,14,11/2/24,11/2/24,Both,Clark County,"1,676,870",June 11
6/11/24,Washington,District of Columbia,District of Columbia,DC,38.893859,-77.0971485,11001,Biden,Campaign,Speaks at Everytown’s Gun Sense University at the Washington Hilton,4,4,4,4,4,4,8,8,8,10/29/24,9/19/24,Both,,"378,821",June 4
6/15/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Trump,Campaign,"Roundtable in Detroit; speaks at Turning Point ""People's Convention"" event",9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
6/18/24,Racine,Racine,Wisconsin,WI,42.7083839,-87.9164651,55101,Trump,Campaign,Remarks at campaign event,2,2,29,2,2,21,50,4,4,10/22/24,10/28/24,Both,Racine County,"109,137",August 13
6/22/24,Washington,District of Columbia,District of Columbia,DC,38.893859,-77.0971485,11001,Trump,Campaign,Remarks at the Faith and Freedom convention,4,4,4,4,4,4,8,8,8,10/29/24,9/19/24,Both,,"378,821",June 4
6/22/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Trump,Campaign,Campaign rally at Temple University's Liacouras Center,8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
6/26/24,Atlanta,Fulton,Georgia,GA,33.7473456,-84.4159076,13121,Trump,Campaign,Event at Black barber shop,5,5,14,5,5,12,26,10,10,11/3/24,11/4/24,Both,Fulton County,"868,981",June 18
6/28/24,Raleigh,Wake,North Carolina,NC,35.8044863,-78.7098135,37183,Biden,Campaign,Campaign rally,5,5,21,3,3,24,45,8,8,10/30/24,11/4/24,Both,Wake County,"823,509",May 14
6/28/24,Chesapeake,Chesapeake City,Virginia,VA,36.6018413,-76.4490084,51550,Trump,Campaign,Campaign rally with Virginia Gov. Glenn Youngkin,0,0,1,1,1,5,6,1,1,,6/28/24,Trump,Chesapeake independent city,"180,864",June 18
6/29/24,New York,New York,New York,NY,40.6943,-73.9249,36061,Biden,Campaign,Remarks at Stonewall National Monument,1,1,3,5,5,6,9,6,6,10/1/24,10/27/24,Both,New York County,"1,113,601",June 25
7/5/24,Madison,Dane,Wisconsin,WI,43.0827,-89.3923,55025,Biden,Campaign,Campaign rally,5,5,29,0,1,21,50,6,5,10/30/24,,Biden,Dane County,"377,076",August 13
7/7/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Biden,Campaign,"Event at Mt. Airy Church of God in Christ, drop-by of campaign office",8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
7/7/24,Harrisburg,Dauphin,Pennsylvania,PA,40.2745727,-76.8994227,42043,Biden,Campaign,Visit to AFSCME local,3,3,43,3,3,37,80,6,6,10/2/24,10/26/24,Both,Dauphin County,"193,452",April 23
7/9/24,Doral,Miami-Dade,Florida,FL,25.809793,-80.3460198,12025,Trump,Campaign,Campaign rally,0,0,1,2,3,6,7,3,2,,10/22/24,Trump,Miami-Dade County,"1,442,196",March 19
7/10/24,Washington,District of Columbia,District of Columbia,DC,38.893859,-77.0971485,11001,Biden,Campaign,Meets union members at AFL-CIO,4,4,4,4,4,4,8,8,8,10/29/24,9/19/24,Both,,"378,821",June 4
7/12/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Biden,Campaign,Campaign rally,9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
7/13/24,Butler,Butler,Pennsylvania,PA,40.8635399,-79.9055362,42019,Trump,Campaign,Campaign rally; shooting,0,1,43,2,2,37,80,3,2,,10/5/24,Trump,Butler County,"138,232",April 23
7/15/24,Milwaukee,Milwaukee,Wisconsin,WI,43.0642,-87.9673,55079,Trump,Campaign,In town for RNC,5,7,29,4,4,21,50,11,9,11/4/24,11/1/24,Both,Milwaukee County,"489,950",August 13
7/16/24,Las Vegas,Clark,Nevada,NV,36.2333,-115.2654,32003,Biden,Campaign,Speech to NAACP; economic summit,8,9,13,6,9,12,25,18,14,11/2/24,10/24/24,Both,Clark County,"1,676,870",June 11
7/20/24,Grand Rapids,Kent,Michigan,MI,42.9615,-85.6557,26081,Trump,Campaign,Rally with VP pick JD Vance,2,2,30,3,6,33,63,8,5,10/18/24,11/4/24,Both ,Kent County,"518,797",August 6
7/22/24,Middletown,Butler,Ohio,OH,39.5033859,-84.3958396,39017,Vance,Campaign,Vance rally,0,0,0,1,1,2,2,1,1,,7/22/24,Vance,Butler County,"252,701",March 19
7/22/24,Radford,Radford City,Virginia,VA,37.1264789,-80.5866793,51750,Vance,Campaign,Vance rally,0,0,1,1,1,5,6,1,1,,7/22/24,Vance,Radford independent city,"9,262",June 18
7/23/24,West Allis,Milwaukee,Wisconsin,WI,43.0023312,-88.0481001,55079,Harris,Campaign,Harris rally at West Allis High School,2,7,29,0,4,21,50,11,2,11/1/24,,Harris,Milwaukee County,"489,950",August 13
7/24/24,Indianapolis,Marion,Indiana,IN,39.7796675,-86.2979005,18097,Harris,Campaign,Harris speech at Zeta Phi Beta Sorority's Grand Boule,1,1,1,0,0,0,1,1,1,7/24/24,,Harris,Marion County,"625,443",May 7
7/24/24,Charlotte,Mecklenburg,North Carolina,NC,35.2030383,-80.9482419,37119,Trump,Campaign,Trump rally in Charlotte,4,4,21,3,4,24,45,8,7,11/3/24,9/23/24,Both,Mecklenburg County,"790,579",May 14
7/25/24,Houston,Harris,Texas,TX,29.7879096,-95.4658565,48201,Harris,Campaign,Harris speech to American Federation of Teachers,3,3,3,0,0,2,5,3,3,10/25/24,,Harris,Harris County,"2,604,124",March 5
7/26/24,West Palm Beach,Palm Beach,Florida,FL,26.7036442,-80.0591653,12099,Trump,Campaign,Trump speaks to Turning Point Believers' Summit,0,0,1,2,3,6,7,3,2,,7/26/24,Trump,Palm Beach County,"862,178",March 19
7/27/24,St. Cloud,Stearns,Minnesota,MN,45.5426782,-94.2119293,27145,Trump,Campaign,Trump/Vance rally,0,0,2,1,1,2,4,1,1,,7/27/24,Trump/Vance,Stearns County,"94,516",August 13
7/27/24,Nashville,Davidson ,Tennessee,TN,36.160651,-86.8056063,47037,Trump,Campaign,Trump speaks at cryptocurrency conference,0,0,0,1,1,1,1,1,1,,7/27/24,Trump,Davidson County,"490,424",March 5
7/30/24,Atlanta,Fulton,Georgia,GA,33.7473456,-84.4159076,13121,Harris,Campaign,Harris rally in Atlanta,5,5,14,5,5,12,26,10,10,11/3/24,11/4/24,Both,Fulton County,"868,981",June 18
7/30/24,Henderson,Clark,Nevada,NV,36.0376783,-115.0139534,32003,Vance,Campaign,Vance rally,1,9,13,3,9,12,25,18,4,10/27/24,10/31/24,Both,Clark County,"1,676,870",June 11
7/30/24,Reno,Washoe,Nevada,NV,39.5497,-119.8483,32031,Vance,Campaign,Vance rally,4,4,13,3,3,12,25,7,7,10/31/24,10/23/24,Both,Washoe County,"378,608",June 11
7/31/24,Glendale,Maricopa,Arizona,AZ,33.6029761,-112.3888516,04013,Vance,Campaign,Vance rally ,1,10,15,2,8,12,27,18,3,8/9/24,7/31/24,Both,Maricopa County,"2,934,306",July 30
7/31/24,Chicago,Cook,Illinois,IL,41.8336152,-87.896768,17031,Trump,Campaign,Trump speaks at NABJ conference,1,1,1,2,2,2,3,3,3,8/19/24,10/15/24,Both,Cook County,"3,452,398",March 19
7/31/24,Harrisburg,Dauphin,Pennsylvania,PA,40.2745727,-76.8994227,42043,Trump,Campaign,Trump rally,3,3,43,3,3,37,80,6,6,10/30/24,10/26/24,Both,Dauphin County,"193,452",April 23
7/31/24,Houston,Harris,Texas,TX,29.7879096,-95.4658565,48201,Harris,Campaign,Harris speech to Sigma Gamma Rho Sorority biennial boule,3,3,3,0,0,2,5,3,3,10/25/24,,Harris,Harris County,"2,604,124",March 5
8/6/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Harris,Campaign,Harris rally - introduces Walz as VP pick,8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
8/6/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Vance,Campaign,Vance rally,8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
8/7/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Harris,Campaign,"Harris, Walz rally",9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
8/7/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Vance,Campaign,Vance rally,9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
8/7/24,Eau Claire,Eau Claire,Wisconsin,WI,44.8197654,-91.5224738,55035,Harris,Campaign,"Harirs, Walz rallies",2,2,29,2,2,21,50,4,4,10/14/24,9/17/24,Both,Eau Claire County,"61,148",August 13
8/7/24,Eau Claire,Eau Claire,Wisconsin,WI,44.8197654,-91.5224738,55035,Vance,Campaign,Vance rally ,2,2,29,2,2,21,50,4,4,10/14/24,9/17/24,Both,Eau Claire County,"61,148",August 13
8/8/24,West Palm Beach,Palm Beach,Florida,FL,26.7036442,-80.0591653,12099,Trump,Campaign,Trump news conference,0,0,1,2,3,6,7,3,2,,8/8/24,Trump,Palm Beach County,"862,178",March 19
8/8/24,Wayne,Wayne,Michigan,MI,42.2819214,-83.4114961,26163,Harris,Campaign,"Harris, Walz event at UAW Local 900",1,11,30,0,8,33,63,19,1,8/8/24,,Harris/Walz,Wayne County,"1,447,552",August 6
8/9/24,Glendale,Maricopa,Arizona,AZ,33.6029761,-112.3888516,04013,Harris,Campaign,"Harris, Walz rally",1,10,15,2,8,12,27,18,3,8/9/24,7/31/24,Both,Maricopa County,"2,934,306",July 30
8/9/24,Bozeman,Gallatin,Montana,MT,45.6815228,-111.0903537,30031,Trump,Campaign,Trump rally in Bozeman,0,0,0,1,1,1,1,1,1,,8/19/24,Trump,Gallatin County,"91,451",June 4
8/10/24,Las Vegas,Clark,Nevada,NV,36.2333,-115.2654,32003,Harris,Campaign,"Harris, Walz rally",8,9,13,6,9,12,25,18,14,11/2/24,11/2/24,Both,Clark County,"1,676,870",June 11
8/13/24,Los Angeles,Los Angeles,California,CA,34.0516723,-118.3730512,06037,Walz,Campaign,Walz speech to AFSCME ,1,1,1,0,0,1,2,1,1,8/13/24,,Walz,Los Angeles County,"5,665,752",March 5
8/14/24,Byron Center,Kent,Michigan,MI,42.8121206,-85.7485355,26081,Vance,Campaign,Vance address ,0,2,30,1,6,33,63,8,1,,8/14/24,Vance,Kent County,"518,797",August 6
8/14/24,Asheville,Buncombe,North Carolina,NC,35.5949541,-82.5997781,37021,Trump,Campaign,Trump economic speech in Asheville,2,2,21,1,1,24,45,3,3,10/30/24,8/14/24,Both,Buncombe County,"208,652",May 14
8/15/24,Largo,Prince George's,Maryland,MD,38.8793707,-76.8345309,24033,Harris,Campaign,Harris and Biden event on drug costs,1,1,1,0,0,0,1,1,1,8/15/24,,Harris,Prince George's County,"604,477",May 14
8/15/24,Bedminster,Somerset,New Jersey,NJ,40.655764,-74.70022,34035,Trump,Campaign,Trump news conference,0,0,0,1,1,2,2,1,1,,8/15/24,Trump,Somerset County,"256,929",June 4
8/15/24,New Kensington,Westmoreland,Pennsylvania,PA,40.570023,-79.7665506,42129,Vance,Campaign,Vance speaks at VFW Post 92,0,1,43,1,3,37,80,4,1,,8/15/24,Vance,Westmoreland County,"245,751",April 23
8/16/24,Raleigh,Wake,North Carolina,NC,35.8324,-78.6438,37183,Harris,Campaign,Harris rally to unveil economic plan,5,5,21,3,3,24,45,8,8,10/30/24,11/4/24,Both,Wake County,"823,509",May 14
8/16/24,Milwaukee,Milwaukee,Wisconsin,WI,43.0642,-87.9673,55079,Vance,Campaign,Vance speaks to police union ,5,7,29,4,4,21,50,11,9,11/4/24,11/1/24,Both,Milwaukee County,"489,950",August 13
8/17/24,Omaha,Douglas,Nebraska,NE,41.2482047,-95.97078,31055,Walz,Campaign,Walz rally ,2,2,2,0,0,0,2,2,2,10/19/24,,Walz,Douglas County,"355,604",May 14
8/17/24,Wilkes-Barre,Luzerne,Pennsylvania,PA,41.246077,-75.8879325,42079,Trump,Campaign,Trump rally,1,1,43,1,1,37,80,2,2,9/13/24,8/17/24,Both,Luzerne County,"198,052",April 23
8/18/24,Pittsburgh,Allegheny,Pennsylvania,PA,40.4396,-79.9763,42003,Harris,Campaign,Harris/Walz rally,8,8,43,2,3,37,80,11,10,11/4/24,11/4/24,Both,Allegheny County,"904,410",April 23
8/18/24,Rochester,Beaver,Pennsylvania,PA,40.7028643,-80.3039173,42007,Harris,Campaign,Harris phone bank visit ,1,1,43,0,0,37,80,1,1,,8/18/24,Harris,Beaver County,"112,307",April 23
8/19/24,Chicago,Cook,Illinois,IL,41.8336152,-87.896768,17031,Harris,Campaign,Harris in town for DNC,1,1,1,2,2,2,3,3,3,8/19/24,10/15/24,Both,Cook County,"3,452,398",March 19
8/19/24,York,York,Pennsylvania,PA,39.9669437,-76.751489,42133,Trump,Campaign,Trump remarks,1,1,43,1,1,37,80,2,2,10/2/24,8/19/24,Both,York County,"311,832",April 23
8/19/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Vance,Campaign,Vance remarks ,8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
8/20/24,Howell,Livingston,Michigan,MI,42.6072678,-83.9383683,26093,Trump,Campaign,Trump remarks on crime and safety,0,0,30,1,1,33,63,1,1,,8/20/24,Trump,Livingston County,"166,971",August 6
8/20/24,Milwaukee,Milwaukee,Wisconsin,WI,43.0642,-87.9673,55079,Harris,Campaign,Harris/Walz rally,5,7,29,4,4,21,50,11,9,11/4/24,11/1/24,Both,Milwaukee County,"489,950",August 13
8/20/24,Kenosha,Kenosha,Wisconsin,WI,42.5902661,-87.9081141,55059,Vance,Campaign,Vance remarks on crime and safety,0,0,29,1,1,21,50,1,1,,8/20/24,Vance,Kenosha County,"88,131",August 13
8/21/24,Asheboro,Randolph,North Carolina,NC,35.7136329,-79.8791787,37151,Trump,Campaign,Trump/Vance rally,0,0,21,1,1,24,45,1,1,,8/21/24,Trump/Vance,Randolph County,"95,885",May 14
8/22/24,Montezuma Pass,Cochise,Arizona,AZ,31.350067,-110.2937908,04003,Trump,Campaign,Trump visits border,0,1,15,1,1,12,27,2,1,,8/22/24,Trump,Cochise County,"89,674",July 30
8/22/24,Valdosta,Lowndes,Georgia,GA,30.8311569,-83.3176031,13185,Vance,Campaign,Vance remarks on immigration,0,0,14,1,1,12,26,1,1,,8/22/24,Vance,Lowndes County,"74,679",May 21
8/23/24,Glendale,Maricopa,Arizona,AZ,33.6029761,-112.3888516,04013,Trump,Campaign,Trump rally,1,10,15,2,8,12,27,18,3,8/9/24,8/23/24,Both,Maricopa County,"2,934,306",July 30
8/23/24,St. Paul,Ramsey,Minnesota,MN,44.9492479,-93.1335938,27123,Walz,Campaign,Walz event,2,2,2,1,1,2,4,3,3,8/23/24,5/17/24,Both,Ramsey County,"311,256",August 13
8/23/24,Las Vegas,Clark,Nevada,NV,36.2333,-115.2654,32003,Trump,Campaign,Trump event,8,9,13,6,9,12,25,18,14,11/2/24,11/2/24,Both,Clark County,"1,676,870",June 11
8/26/24,Detroit,Wayne,Michigan,MI,42.3266374,-83.0503179,26163,Trump,Campaign,Trump speaks to national guard group,9,11,30,6,8,33,63,19,15,11/4/24,10/18/24,Both,Wayne County,"1,447,552",August 6
8/26/24,Arlington,Arlington,Virginia,VA,38.8808582,-77.143409,51013,Trump,Campaign,Trump lays wreath at Arlington National Cemetery,0,0,1,1,1,5,6,1,1,,8/26/24,Trump,Arlington County,"181,203",June 18
8/26/24,Falls Church,Falls Church independent city,Virginia,VA,38.8809648,-77.1792161,51610,Trump,Campaign,Trump stops by Vietnamese restaurant,0,0,1,1,1,5,6,1,1,,8/26/24,Trump,Falls Church independent city,"11,566",June 18
8/27/24,Big Rapids,Mecosta,Michigan,MI,43.6994611,-85.500258,26107,Vance,Campaign,Vance economic remarks,0,0,30,1,1,33,63,1,1,,8/27/24,Vance,Mecosta County,"32,583",August 6
8/28/24,Savannah,Chatham,Georgia,GA,32.0919945,-81.1460978,13051,Harris,Campaign,Harris/Walz bus tour begins,2,2,14,1,1,12,26,3,3,10/29/24,9/24/24,Both,Chatham County,"208,387",May 21
8/28/24,Hinesville,Liberty,Georgia,GA,31.8324566,-81.6288781,13179,Harris,Campaign,Harris/Walz bus tour stop at high school ,1,1,14,0,0,12,26,1,1,8/28/24,,Harris/Walz,Liberty County,"36,596",May 21
8/28/24,Boston,Suffolk,Massachusetts,MA,42.3544566,-71.05456,25025,Walz,Campaign,Walz event at international firefighter conference,1,1,1,1,1,1,2,2,2,8/28/24,8/29/24,Both,Suffolk County,"482,855",February 24
8/28/24,Erie,Erie,Pennsylvania,PA,42.1153771,-80.1121465,42049,Vance,Campaign,Vance remarks on economy,3,3,43,2,2,37,80,5,5,10/31/24,9/29/24,Both,Erie County,"174,073",April 23
8/28/24,De Pere,Brown,Wisconsin,WI,44.4449729,-88.096732,55009,Vance,Campaign,Vance remarks on economy,0,2,29,1,3,21,50,5,1,,8/28/24,Vance,Brown County,"148,476",August 13
8/29/24,Boston,Suffolk,Massachusetts,MA,42.3544566,-71.05456,25025,Vance,Campaign,Vance event at international firefighter conference,1,1,1,1,1,1,2,2,2,8/28/24,8/29/24,Both,Suffolk County,"482,855",February 24
8/29/24,Potterville,Eaton ,Michigan,MI,42.6275115,-84.7497636,26045,Trump,Campaign,Trump event at steel facility,0,0,30,1,1,33,63,1,1,,8/29/24,Trump,Eaton County,"89,967",August 6
8/29/24,Raleigh,Wake,North Carolina,NC,35.8324,-78.6438,37183,Walz,Campaign,Walz campaign event,5,5,21,3,3,24,45,8,8,10/30/24,11/4/24,Both,Wake County,"823,509",May 14
8/29/24,La Crosse,La Crosse,Wisconsin,WI,43.8223729,-91.2993139,55063,Trump,Campaign,Trump town hall,2,2,29,2,2,21,50,4,4,11/4/24,11/4/24,Both,La Crosse County,"68,571",August 13
